DIMENSION,MARQUE,RÉFÉRENCE,STOCK TOTAL,AOUINA,DIBOU,ARIANA,PRIX (DT)
155/65R14,SEMPERIT,SP155/65R14,4,4,0,0,240
155/70R13,RADIAL,RD155/70R13,13,7,0,6,180
165/60R14,GOODYEAR,GD165/60R14,7,4,3,0,230
165/60R14,HANKOOK,HK165/60R14,4,4,0,0,230
165/65R14,SEMPERIT,SP165/65R14,5,4,0,1,200
165/65R14,WESTLAKE,WL165/65R14,4,4,0,0,180
165/70R13,RADIAL,RD165/70R13,5,4,0,1,180
165/70R14,SEMPERIT,SP165/70R14,10,4,2,4,240
175/50R15,HANKOOK,HK175/50R15,12,4,7,1,270
175/55R15,RADIAL,RD175/55R15,3,3,0,0,250
205/55R16,AMINE,AM205/55R16,1,1,0,0,240
205/55R16,DOUBLESTAR,DS205/55R16,4,4,0,0,230
205/55R16,FULDA,FL205/55R16,45,10,27,8,250
205/55R16,GOODRIDE,GR205/55R16,1,0,0,1,250
205/55R16,GOODYEAR,GD205/55R16,6,2,0,4,280
205/55R16,HANKOOK,HK205/55R16,17,4,9,4,260
205/55R16,RADIAL,RD205/55R16,4,0,0,4,230
